   ncalls,  tottime,  percall,  cumtime,  percall, filename:lineno(function)
        1,    0.000,    0.000,    0.000,    0.000, __future__.py:48(<module>)
        1,    0.000,    0.000,    0.000,    0.000, __future__.py:78(_Feature)
        9,    0.000,    0.000,    0.000,    0.000, __future__.py:79(__init__)
       79,    0.003,    0.000,    0.619,    0.008, __init__.py:1(<module>)
        2,    0.000,    0.000,    0.020,    0.010, __init__.py:10(<module>)
        1,    0.000,    0.000,    0.000,    0.000, __init__.py:10(__init__)
        1,    0.000,    0.000,    0.000,    0.000, __init__.py:100(NotSupportedErr)
        1,    0.000,    0.000,    0.000,    0.000, __init__.py:1010(FileHandler)
        1,    0.000,    0.000,    0.000,    0.000, __init__.py:1012(CompilationUnit)
        1,    0.000,    0.000,    0.000,    0.000, __init__.py:103(InuseAttributeErr)
        1,    0.000,    0.000,    0.000,    0.000, __init__.py:103(_FFTModule)
    30074,    0.131,    0.000,    0.298,    0.000, __init__.py:1031(log)
        1,    0.000,    0.000,    0.000,    0.000, __init__.py:1040(ScriptWarning)
        1,    0.000,    0.000,    0.120,    0.120, __init__.py:106(<module>)
        1,    0.000,    0.000,    0.000,    0.000, __init__.py:106(InvalidStateErr)
        1,    0.000,    0.000,    0.000,    0.000, __init__.py:1079(_StderrHandler)
        1,    0.000,    0.000,    0.012,    0.012, __init__.py:1079(script)
        2,    0.000,    0.000,    0.001,    0.000, __init__.py:108(import_module)
        1,    0.000,    0.000,    0.000,    0.000, __init__.py:1085(__init__)
        1,    0.000,    0.000,    0.000,    0.000, __init__.py:109(SyntaxErr)
        2,    0.001,    0.000,    0.519,    0.260, __init__.py:11(<module>)
        1,    0.000,    0.000,    0.000,    0.000, __init__.py:1103(PlaceHolder)
        1,    0.000,    0.000,    0.000,    0.000, __init__.py:1108(ExtractionError)
        6,    0.000,    0.000,    0.000,    0.000, __init__.py:1109(__init__)
       22,    0.000,    0.000,    0.000,    0.000, __init__.py:1115(append)
        1,    0.000,    0.000,    0.000,    0.000, __init__.py:112(InvalidModificationErr)
        1,    0.000,    0.000,    0.000,    0.000, __init__.py:1124(ResourceManager)
        2,    0.000,    0.000,    0.000,    0.000, __init__.py:1126(setLoggerClass)
        1,    0.000,    0.000,    0.000,    0.000, __init__.py:1128(__init__)
        1,    0.000,    0.000,    0.002,    0.002, __init__.py:113(<module>)
        2,    0.000,    0.000,    0.000,    0.000, __init__.py:1139(getLoggerClass)
